UTC,Latitude,Longitude,Heading angle,Ship speed,Wind direction,Wind speed
2023-12-18 9:49,35.50939667,129.3864283,345.5,0.561,173.25,7.35
2023-12-18 9:50,35.50930667,129.386815,344.2,1.216,349.9,7.2
2023-12-18 9:51,35.50933833,129.387035,349.65,0.667,8.6,8.05
2023-12-18 9:52,35.50942333,129.3872467,354.5,0.704,351.8,8.45
2023-12-18 9:53,35.50942333,129.3874767,354.9,0.6995,345.05,9
2023-12-18 9:54,35.51002833,129.387625,3,2.1345,347.85,11.1
2023-12-18 9:55,35.510915,129.3876983,357.7,3.2555,349.2,10.1
2023-12-18 9:56,35.51150667,129.3884633,28.5,3.003,316.8,10.5
2023-12-18 9:57,35.511295,129.3897217,96.2,3.877,249.05,9
2023-12-18 9:58,35.51024167,129.3908117,132.45,4.924,229.95,7
2023-12-18 9:59,35.50858,129.39121,172.9,6.026,162.4,2.8
2023-12-18 10:00,35.50641833,129.39133,177.85,7.7005,132.85,1
2023-12-18 10:01,35.50400833,129.3915367,176.6,8.677,140.45,3.7
2023-12-18 10:02,35.50153333,129.3916367,176.5,8.942,132.7,3.3
2023-12-18 10:03,35.49906833,129.39187,174.65,8.8735,117.1,1.95
2023-12-18 10:04,35.49655667,129.3922167,173.4,9.1055,125.85,1.75
2023-12-18 10:05,35.494035,129.3925833,173.15,9.127,125.7,1
2023-12-18 10:06,35.49152833,129.3929567,173.45,9.099,150.35,2.8
2023-12-18 10:07,35.48894667,129.3933717,173.1,9.0345,151.6,3.95
2023-12-18 10:08,35.48590333,129.3935967,178,10.933,104,2.3
2023-12-18 10:09,35.48270667,129.3936117,180.7,11.4635,107.75,1.65
2023-12-18 10:10,35.47950333,129.3936433,180.6,11.491,126.55,1.8
2023-12-18 10:11,35.476335,129.3936767,181.7,11.381,115,1.05
2023-12-18 10:12,35.47316167,129.3936367,180.5,11.3855,98.6,1.85
2023-12-18 10:13,35.46998167,129.3938783,176.2,11.4395,98.7,3.1
2023-12-18 10:14,35.46678667,129.3944083,174.45,11.552,122.4,2.1
2023-12-18 10:15,35.46364667,129.3955,163.55,11.708,174.1,1.8
2023-12-18 10:16,35.460515,129.3967017,163.25,11.798,149.45,0.9
