UTC,Latitude,Longitude,Heading angle,Ship speed,Wind direction,Wind speed
2024-04-11 9:52,35.45758667,129.3587267,295.6,0.1005,221.2,4
2024-04-11 9:53,35.45751667,129.3587217,294.75,0.24,224.95,4.55
2024-04-11 9:54,35.457485,129.3587617,298.3,0.1755,224.35,3.6
2024-04-11 9:55,35.45742333,129.3588067,302.5,0.2655,223.55,4.2
2024-04-11 9:56,35.45735,129.3588417,303.25,0.304,228.1,3.6
2024-04-11 9:57,35.45731,129.3589033,308.75,0.2225,216.8,4.9
2024-04-11 9:58,35.457265,129.3589817,318.2,0.282,205,5.05
2024-04-11 9:59,35.45709667,129.3591517,338.05,0.671,168.5,5.7
2024-04-11 10:00,35.45672,129.35945,185.55,1.5565,136.4,4.25
2024-04-11 10:01,35.45632,129.3597683,57.75,1.749,100,3.7
2024-04-11 10:02,35.45584167,129.360515,113.1,2.7125,32.55,7.8
2024-04-11 10:03,35.45533833,129.3615817,122.5,3.529,25.05,7.75
2024-04-11 10:04,35.45466833,129.36291,125.45,4.562,18.5,8.2
2024-04-11 10:05,35.45390667,129.3644133,124.75,5.158,27.25,9
2024-04-11 10:06,35.45309167,129.3659517,125.3,5.39,30.2,8.4
2024-04-11 10:07,35.45227833,129.3675383,124.85,5.459,29.85,9.45
2024-04-11 10:08,35.45136167,129.3693117,125.35,6.1075,28.7,8.95
2024-04-11 10:09,35.4505,129.3715683,116.15,7.28,34.4,10.2
2024-04-11 10:10,35.44960333,129.3740867,115.2,8.262,37,11
2024-04-11 10:11,35.44881,129.3770517,108.8,9.1035,36.85,10.2
2024-04-11 10:12,35.44817667,129.3802767,105.05,9.753,42.4,11.1
2024-04-11 10:13,35.447685,129.383585,104.4,9.866,42.1,11.2
2024-04-11 10:14,35.44694333,129.3867817,110.3,9.7425,39.05,11.7
2024-04-11 10:15,35.44609667,129.3899483,110,9.7785,38.5,11.9
2024-04-11 10:16,35.44525333,129.393225,109.5,9.9115,38.95,11.7
2024-04-11 10:17,35.44433167,129.3964067,111.15,9.97,40.1,11.7
2024-04-11 10:18,35.44279833,129.3991083,128.7,9.747,31.15,12.2
2024-04-11 10:19,35.44105167,129.4015467,134.65,9.553,29.35,12.4
2024-04-11 10:20,35.43930667,129.403965,134.75,9.476,29.9,12
2024-04-11 10:21,35.43728167,129.4058467,146.15,9.2645,23.8,11.7
2024-04-11 10:22,35.43491667,129.4068833,164.75,9.035,16,11.2
2024-04-11 10:23,35.432465,129.407665,167.15,9.099,13.4,11.1
2024-04-11 10:24,35.42999667,129.4084117,167.15,9.1285,13,10.9
2024-04-11 10:25,35.42754333,129.40915,167.1,9.111,12.8,10.7
2024-04-11 10:26,35.42511167,129.4099167,167.2,9.088,14.8,11.2
2024-04-11 10:27,35.42268167,129.4106917,167.4,9.0215,12.95,11.5
2024-04-11 10:28,35.420285,129.41149,167.4,8.9605,16.25,12.4
2024-04-11 10:29,35.41790167,129.41233,166.9,8.856,14.3,12.5
2024-04-11 10:30,35.41556667,129.4131617,167.1,8.782,15.7,12.45
2024-04-11 10:31,35.413235,129.413985,167.2,8.736,17.05,12.7
2024-04-11 10:32,35.41091,129.414785,167.5,8.694,13.3,12.7
2024-04-11 10:33,35.408615,129.4156217,166.8,8.6355,15.3,12.7
2024-04-11 10:34,35.40631167,129.41645,167,8.631,15.1,12.7
2024-04-11 10:35,35.40401167,129.4173017,166.9,8.6505,16.8,13.1
