UTC,Latitude,Longitude,Heading angle,Ship speed,Wind direction,Wind speed
2023-11-26 9:26,35.45751167,129.3586733,299.15,0.2305,15.6,5.1
2023-11-26 9:27,35.45738667,129.3584283,295.05,0.834,14.9,5.6
2023-11-26 9:28,35.457195,129.35803,285.3,1.339,28.65,5.3
2023-11-26 9:29,35.45662667,129.35772,239.65,2.1185,58.8,2.7
2023-11-26 9:30,35.45591167,129.3582817,152.1,2.8985,150.6,2.55
2023-11-26 9:31,35.45504167,129.359515,129.7,4.4125,302.45,1
2023-11-26 9:32,35.45361833,129.3618433,126.75,8.3665,345.75,1.7
2023-11-26 9:33,35.45211167,129.3649533,120.45,10.642,337.65,2.8
2023-11-26 9:34,35.45068333,129.3683,116.05,11.077,328.1,2.1
2023-11-26 9:35,35.44944833,129.3717867,112.8,11.19,315.25,3.05
2023-11-26 9:36,35.44836833,129.3753583,110,11.2395,342.75,3.95
2023-11-26 9:37,35.44758833,129.3790717,103.65,11.2725,347.7,3.6
2023-11-26 9:38,35.44702333,129.3830783,100.4,11.952,343.35,6.5
2023-11-26 9:39,35.44649333,129.3872117,102.5,12.3025,344.6,7.85
2023-11-26 9:40,35.44593667,129.3913267,102.95,12.272,345.65,7.55
2023-11-26 9:41,35.44536167,129.39546,103.35,12.3345,331.05,6.95
2023-11-26 9:42,35.44607,129.39936,77.85,12.144,328.1,8.45
2023-11-26 9:43,35.448455,129.40248,46.4,12.533,335.55,11.4
2023-11-26 9:44,35.45141167,129.4044317,31.2,12.575,343.95,12.55
2023-11-26 9:45,35.45461667,129.4034533,339,11.8235,4.85,13.7
2023-11-26 9:46,35.45782333,129.4019467,336.1,12.344,7.2,14.5
2023-11-26 9:47,35.46100833,129.4003767,335.3,12.355,8.7,14
2023-11-26 9:48,35.46415667,129.39879,335.1,12.259,8.45,14.4
2023-11-26 9:49,35.46740667,129.3977,343.75,12.15,6.2,14
2023-11-26 9:50,35.47075667,129.3973583,355.4,12.1475,2.05,14.1
2023-11-26 9:51,35.47361833,129.39708,354.55,10.79,3.3,13
2023-11-26 9:52,35.475475,129.3968933,355.35,6.804,355.6,11
2023-11-26 9:53,35.47681167,129.3967933,355.15,4.783,355.4,9.7
2023-11-26 9:54,35.478535,129.396675,356.1,6.0995,355.5,10.7
2023-11-26 9:55,35.48107167,129.396475,355.6,9.144,354.55,13
2023-11-26 9:56,35.48385167,129.3958967,348.45,10.151,3.3,15.55
2023-11-26 9:57,35.48671,129.3952267,348.5,10.4895,3,14.8
2023-11-26 9:58,35.48952333,129.3947867,352.65,10.5125,3.05,14.5
2023-11-26 9:59,35.491715,129.39452,352.85,7.986,354.7,12
2023-11-26 10:00,35.49357833,129.3943517,353.85,6.6755,356.5,12
2023-11-26 10:01,35.49506167,129.39381,342.35,5.899,15.15,11.8
2023-11-26 10:02,35.49597167,129.3924233,306.4,5.304,26.2,11.45
2023-11-26 10:03,35.49658167,129.3908683,301.8,5.048,31.05,11
2023-11-26 10:04,35.49720167,129.3894533,304.4,4.7155,30.7,9.9
2023-11-26 10:05,35.49780667,129.3881083,303.6,4.5155,33.45,10.2
2023-11-26 10:06,35.498355,129.3868433,303.2,4.242,39.3,9.5
2023-11-26 10:07,35.49881333,129.3857633,304.3,3.672,34,8.2
2023-11-26 10:08,35.49928,129.3847817,305,3.3415,34.8,7.2
2023-11-26 10:09,35.49975,129.3838617,305.75,3.1875,15.75,6.5
2023-11-26 10:10,35.50008833,129.3829733,303.7,3.105,22.65,6.05
2023-11-26 10:11,35.49988,129.382885,259.4,1.344,73,2.3
2023-11-26 10:12,35.49986,129.3834283,211.05,1.6445,127,1.8
2023-11-26 10:13,35.49938667,129.3840633,159.3,2.1755,147.85,1
2023-11-26 10:14,35.49829833,129.3855167,130.75,5.762,251.65,0.9
2023-11-26 10:15,35.49701333,129.3872683,132.7,6.8725,290.3,0.5
2023-11-26 10:16,35.49572,129.3892233,124.05,7.4205,280.4,1.95
2023-11-26 10:17,35.49410167,129.3909367,138.75,7.6495,244.65,2.8
2023-11-26 10:18,35.49228833,129.3925467,142.3,8.0715,230.6,1
2023-11-26 10:19,35.49013,129.39323,169.9,8.083,154.95,0.9
2023-11-26 10:20,35.48785,129.39328,180.6,8.135,122.3,1.2
2023-11-26 10:21,35.48555833,129.3933017,180.2,8.275,106.45,1
2023-11-26 10:22,35.48325167,129.3933033,180.35,8.322,110.05,1.6
2023-11-26 10:23,35.48092833,129.3933183,180.4,8.3435,112.8,0.65
2023-11-26 10:24,35.47861333,129.3933183,180.7,8.3335,52.55,1
2023-11-26 10:25,35.4763,129.3933417,180.05,8.315,53.2,0.8
2023-11-26 10:26,35.47401333,129.3933817,177.8,8.2195,89.1,0.85
2023-11-26 10:27,35.47173167,129.3934583,177.5,8.2255,86.4,0.7
2023-11-26 10:28,35.46946167,129.3935967,176.9,8.2175,53.6,0.9
2023-11-26 10:29,35.467245,129.39394,175.9,8.0955,103.15,1.25
2023-11-26 10:30,35.46514,129.3947767,163.9,7.946,51.6,0.4
2023-11-26 10:31,35.46305167,129.3955933,165.4,7.929,41.05,0.4
2023-11-26 10:32,35.460975,129.3963767,167.05,7.8195,13.95,0.4
2023-11-26 10:33,35.45892667,129.39711,167.8,7.757,335.7,0.8
2023-11-26 10:34,35.456895,129.3978717,167.05,7.669,331.15,0.7
2023-11-26 10:35,35.45488333,129.398645,166.9,7.622,299,1.8
2023-11-26 10:36,35.45287833,129.3993817,167.5,7.601,310.45,1.75
2023-11-26 10:37,35.45088333,129.4001267,167.35,7.516,314.65,1.4
2023-11-26 10:38,35.44886667,129.40087,167.45,7.569,293.45,1
2023-11-26 10:39,35.44686833,129.4016167,167.05,7.6175,245.5,0.7
2023-11-26 10:40,35.44487833,129.402345,167.9,7.4805,202,0.4
2023-11-26 10:41,35.44292667,129.403055,167,7.3895,202.2,0
2023-11-26 10:42,35.44098,129.4037867,166.95,7.372,196.95,0
2023-11-26 10:43,35.43904667,129.404525,166.8,7.3,271.15,0.3
2023-11-26 10:44,35.43715,129.4052383,167.8,7.191,259.3,0.6
2023-11-26 10:45,35.43526833,129.4059533,167.4,7.133,293.55,0.55
2023-11-26 10:46,35.433415,129.4066667,166.7,7.0255,282.45,0.9
2023-11-26 10:47,35.43138,129.4074433,166.8,7.341,266.95,0.2
2023-11-26 10:48,35.42860167,129.4084183,166.7,10.4805,27.95,1.9
2023-11-26 10:49,35.42559,129.4094783,167.3,11.2595,29.05,2.3
2023-11-26 10:50,35.42255,129.41056,167.1,11.403,34.4,3.35
2023-11-26 10:51,35.41951167,129.411625,167.5,11.4425,33.75,3.1
2023-11-26 10:52,35.41651,129.4127167,167.25,11.349,36.95,2.8
2023-11-26 10:53,35.41348167,129.413565,170.2,11.251,40.95,2.3
2023-11-26 10:54,35.41047167,129.4144133,170.25,11.19,25.05,3.3
2023-11-26 10:55,35.40750167,129.415555,165.5,11.1555,28.35,2.1
2023-11-26 10:56,35.40460167,129.416795,164.85,11.168,10.7,2.5
2023-11-26 10:57,35.40180667,129.4181733,164.8,10.8965,206.65,1.5
2023-11-26 10:58,35.398925,129.4187883,179.65,10.5255,40.4,3.05
2023-11-26 10:59,35.39597833,129.4189467,182.4,10.5975,46.7,3.65
2023-11-26 11:00,35.39298333,129.4188867,183.35,10.786,43.4,2.8
2023-11-26 11:01,35.38994,129.4188167,182.45,10.9635,32.8,2.8
2023-11-26 11:02,35.38688333,129.419005,178.55,10.959,37.1,2.1
2023-11-26 11:03,35.3838,129.4192233,178.4,11.1275,29.4,3.1
2023-11-26 11:04,35.38064833,129.4194567,178.6,11.1445,30.6,2.9
2023-11-26 11:05,35.37756,129.4196783,178.7,11.146,47.65,3.1
2023-11-26 11:06,35.374465,129.419915,178.65,11.1365,32.25,3.1
2023-11-26 11:07,35.37137333,129.42011,179.3,11.1685,21.5,3.4
